AG-DEPARTMENT OF AGRICULTURE,63967.41
AH-NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES,119776.0
AM-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,125631.62
BG-PENSION BENEFIT GUARANTY CORPORATION,129758.67
BO-OFFICE OF MANAGEMENT AND BUDGET,148609.99
CM-DEPARTMENT OF COMMERCE,91676.2
CT-COMMODITY FUTURES TRADING COMMISSION,128565.0
CU-NATIONAL CREDIT UNION ADMINISTRATION,140537.8
CX-NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE,118437.25
DB-PUBLIC INTEREST DECLASSIFICATION BOARD,121956.45
DJ-DEPARTMENT OF JUSTICE,92838.98
DL-DEPARTMENT OF LABOR,95646.19
ED-DEPARTMENT OF EDUCATION,114927.5
EE-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,45995.0
EO-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,64862.0
EP-ENVIRONMENTAL PROTECTION AGENCY,118152.2
EQ-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,55000.0
FC-FEDERAL COMMUNICATIONS COMMISSION,133584.67
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,152165.4
FL-FARM CREDIT ADMINISTRATION,66495.0
FT-FEDERAL TRADE COMMISSION,133902.5
GS-GENERAL SERVICES ADMINISTRATION,101637.67
GW-INTERNATIONAL BOUNDARY AND WATER COMMISSION:  UNITED STATES AND MEXICO,82848.0
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,106350.59
HS-DEPARTMENT OF HOMELAND SECURITY,78830.5
HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,102945.62
IB-BROADCASTING BOARD OF GOVERNORS,108887.0
IN-DEPARTMENT OF THE INTERIOR,75623.37
KS-CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,79264.0
NF-NATIONAL SCIENCE FOUNDATION,120826.0
NL-NATIONAL LABOR RELATIONS BOARD,123284.33
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,122579.7
NQ-NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,68553.33
NU-NUCLEAR REGULATORY COMMISSION,117667.0
OM-OFFICE OF PERSONNEL MANAGEMENT,98178.43
PU-PEACE CORPS,125532.5
SB-SMALL BUSINESS ADMINISTRATION,108789.0
SE-SECURITIES AND EXCHANGE COMMISSION,202397.75
SK-CONSUMER PRODUCT SAFETY COMMISSION,101067.0
SM-SMITHSONIAN INSTITUTION,86332.67
ST-DEPARTMENT OF STATE,84425.59
SZ-SOCIAL SECURITY ADMINISTRATION,85668.42
TB-NATIONAL TRANSPORTATION SAFETY BOARD,134296.0
TD-DEPARTMENT OF TRANSPORTATION,113502.5
TR-DEPARTMENT OF THE TREASURY,85631.15
VA-DEPARTMENT OF VETERANS AFFAIRS,76235.28
VD-PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,149432.0
