TD-DEPARTMENT OF TRANSPORTATION,108252
DJ-DEPARTMENT OF JUSTICE,40033
HS-DEPARTMENT OF HOMELAND SECURITY,39685
AG-DEPARTMENT OF AGRICULTURE,71115
VA-DEPARTMENT OF VETERANS AFFAIRS,32318
IN-DEPARTMENT OF THE INTERIOR,32318
TD-DEPARTMENT OF TRANSPORTATION,53435
DJ-DEPARTMENT OF JUSTICE,80073
VA-DEPARTMENT OF VETERANS AFFAIRS,38919
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,158245
IN-DEPARTMENT OF THE INTERIOR,34292
VA-DEPARTMENT OF VETERANS AFFAIRS,78408
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,55289
IN-DEPARTMENT OF THE INTERIOR,39858
VA-DEPARTMENT OF VETERANS AFFAIRS,77019
EP-ENVIRONMENTAL PROTECTION AGENCY,102291
VA-DEPARTMENT OF VETERANS AFFAIRS,40033
ST-DEPARTMENT OF STATE,82656
CM-DEPARTMENT OF COMMERCE,74319
AG-DEPARTMENT OF AGRICULTURE,25731
AG-DEPARTMENT OF AGRICULTURE,62542
VA-DEPARTMENT OF VETERANS AFFAIRS,26290
VA-DEPARTMENT OF VETERANS AFFAIRS,39174.4
HS-DEPARTMENT OF HOMELAND SECURITY,34560
AG-DEPARTMENT OF AGRICULTURE,25731
ST-DEPARTMENT OF STATE,73510
AG-DEPARTMENT OF AGRICULTURE,28078
TR-DEPARTMENT OF THE TREASURY,49755
EP-ENVIRONMENTAL PROTECTION AGENCY,73242
VA-DEPARTMENT OF VETERANS AFFAIRS,45289
ST-DEPARTMENT OF STATE,90701
TR-DEPARTMENT OF THE TREASURY,120856
VA-DEPARTMENT OF VETERANS AFFAIRS,77019
AG-DEPARTMENT OF AGRICULTURE,25731
TD-DEPARTMENT OF TRANSPORTATION,135693
ST-DEPARTMENT OF STATE,92987
VA-DEPARTMENT OF VETERANS AFFAIRS,298599
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,92145
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,139384
TD-DEPARTMENT OF TRANSPORTATION,106081
HS-DEPARTMENT OF HOMELAND SECURITY,43684
HS-DEPARTMENT OF HOMELAND SECURITY,43828
VA-DEPARTMENT OF VETERANS AFFAIRS,112680
VA-DEPARTMENT OF VETERANS AFFAIRS,73493
VA-DEPARTMENT OF VETERANS AFFAIRS,75319
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,106773
HS-DEPARTMENT OF HOMELAND SECURITY,34560
VA-DEPARTMENT OF VETERANS AFFAIRS,41278
HS-DEPARTMENT OF HOMELAND SECURITY,39685
VA-DEPARTMENT OF VETERANS AFFAIRS,38919
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,95217
VA-DEPARTMENT OF VETERANS AFFAIRS,67364
ST-DEPARTMENT OF STATE,31624
VA-DEPARTMENT OF VETERANS AFFAIRS,69605
TD-DEPARTMENT OF TRANSPORTATION,84078
CM-DEPARTMENT OF COMMERCE,30812
VA-DEPARTMENT OF VETERANS AFFAIRS,109781
CM-DEPARTMENT OF COMMERCE,28886
HS-DEPARTMENT OF HOMELAND SECURITY,46268.79
HS-DEPARTMENT OF HOMELAND SECURITY,76008.54
CM-DEPARTMENT OF COMMERCE,34787
TR-DEPARTMENT OF THE TREASURY,141555
SM-SMITHSONIAN INSTITUTION,170815
CM-DEPARTMENT OF COMMERCE,32678
HS-DEPARTMENT OF HOMELAND SECURITY,160300
CM-DEPARTMENT OF COMMERCE,25731
AG-DEPARTMENT OF AGRICULTURE,49374
TD-DEPARTMENT OF TRANSPORTATION,125061
HS-DEPARTMENT OF HOMELAND SECURITY,85086.99
VA-DEPARTMENT OF VETERANS AFFAIRS,50054
VA-DEPARTMENT OF VETERANS AFFAIRS,37169.47
HS-DEPARTMENT OF HOMELAND SECURITY,67076.18
TR-DEPARTMENT OF THE TREASURY,120907
SZ-SOCIAL SECURITY ADMINISTRATION,170400
VA-DEPARTMENT OF VETERANS AFFAIRS,35381
SZ-SOCIAL SECURITY ADMINISTRATION,77019
HS-DEPARTMENT OF HOMELAND SECURITY,40495
HS-DEPARTMENT OF HOMELAND SECURITY,138267
TR-DEPARTMENT OF THE TREASURY,57337
VA-DEPARTMENT OF VETERANS AFFAIRS,90404
VA-DEPARTMENT OF VETERANS AFFAIRS,34247.67
FC-FEDERAL COMMUNICATIONS COMMISSION,160300
VA-DEPARTMENT OF VETERANS AFFAIRS,94706
VA-DEPARTMENT OF VETERANS AFFAIRS,117410
AM-U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT,160300
CM-DEPARTMENT OF COMMERCE,25731
ST-DEPARTMENT OF STATE,167357
SZ-SOCIAL SECURITY ADMINISTRATION,63095
HS-DEPARTMENT OF HOMELAND SECURITY,85215
TD-DEPARTMENT OF TRANSPORTATION,160300
EP-ENVIRONMENTAL PROTECTION AGENCY,119794
SZ-SOCIAL SECURITY ADMINISTRATION,160300
HS-DEPARTMENT OF HOMELAND SECURITY,42401
IN-DEPARTMENT OF THE INTERIOR,104777
VA-DEPARTMENT OF VETERANS AFFAIRS,49672
VA-DEPARTMENT OF VETERANS AFFAIRS,40033
VA-DEPARTMENT OF VETERANS AFFAIRS,63654
SZ-SOCIAL SECURITY ADMINISTRATION,42012
AG-DEPARTMENT OF AGRICULTURE,73164
HS-DEPARTMENT OF HOMELAND SECURITY,55973.34
VA-DEPARTMENT OF VETERANS AFFAIRS,235000
TD-DEPARTMENT OF TRANSPORTATION,116560
TD-DEPARTMENT OF TRANSPORTATION,160300
ST-DEPARTMENT OF STATE,93293
GS-GENERAL SERVICES ADMINISTRATION,142021
VA-DEPARTMENT OF VETERANS AFFAIRS,51760
ST-DEPARTMENT OF STATE,134296
TR-DEPARTMENT OF THE TREASURY,61477
TD-DEPARTMENT OF TRANSPORTATION,90701
VA-DEPARTMENT OF VETERANS AFFAIRS,41259.99
AG-DEPARTMENT OF AGRICULTURE,69120
VA-DEPARTMENT OF VETERANS AFFAIRS,107725
VA-DEPARTMENT OF VETERANS AFFAIRS,69186
TD-DEPARTMENT OF TRANSPORTATION,134426
VA-DEPARTMENT OF VETERANS AFFAIRS,191368
HS-DEPARTMENT OF HOMELAND SECURITY,46705
TD-DEPARTMENT OF TRANSPORTATION,142021
VA-DEPARTMENT OF VETERANS AFFAIRS,46831
AG-DEPARTMENT OF AGRICULTURE,77019
VA-DEPARTMENT OF VETERANS AFFAIRS,90701
VA-DEPARTMENT OF VETERANS AFFAIRS,46616
TD-DEPARTMENT OF TRANSPORTATION,126749
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,109848
VA-DEPARTMENT OF VETERANS AFFAIRS,92701
VA-DEPARTMENT OF VETERANS AFFAIRS,209346
ST-DEPARTMENT OF STATE,79996
IN-DEPARTMENT OF THE INTERIOR,145276
CM-DEPARTMENT OF COMMERCE,25731
VA-DEPARTMENT OF VETERANS AFFAIRS,83805
TD-DEPARTMENT OF TRANSPORTATION,80044
TD-DEPARTMENT OF TRANSPORTATION,116824
ST-DEPARTMENT OF STATE,75672
NF-NATIONAL SCIENCE FOUNDATION,179800
TR-DEPARTMENT OF THE TREASURY,49875
TR-DEPARTMENT OF THE TREASURY,45995
AG-DEPARTMENT OF AGRICULTURE,129723
VA-DEPARTMENT OF VETERANS AFFAIRS,55397
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,154207
VA-DEPARTMENT OF VETERANS AFFAIRS,75402
HS-DEPARTMENT OF HOMELAND SECURITY,38259
DJ-DEPARTMENT OF JUSTICE,82949
HS-DEPARTMENT OF HOMELAND SECURITY,93607
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,113121
HS-DEPARTMENT OF HOMELAND SECURITY,44779
HS-DEPARTMENT OF HOMELAND SECURITY,90701
VA-DEPARTMENT OF VETERANS AFFAIRS,49354
GS-GENERAL SERVICES ADMINISTRATION,158700
TR-DEPARTMENT OF THE TREASURY,113650
EP-ENVIRONMENTAL PROTECTION AGENCY,120427
EP-ENVIRONMENTAL PROTECTION AGENCY,102324
VA-DEPARTMENT OF VETERANS AFFAIRS,53188
TD-DEPARTMENT OF TRANSPORTATION,107505
TR-DEPARTMENT OF THE TREASURY,56976
NN-NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,138956
VA-DEPARTMENT OF VETERANS AFFAIRS,77610
HS-DEPARTMENT OF HOMELAND SECURITY,65170
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,35381
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,157923
CM-DEPARTMENT OF COMMERCE,137926
TR-DEPARTMENT OF THE TREASURY,98476
TD-DEPARTMENT OF TRANSPORTATION,124811
SZ-SOCIAL SECURITY ADMINISTRATION,130666
VA-DEPARTMENT OF VETERANS AFFAIRS,98888
VA-DEPARTMENT OF VETERANS AFFAIRS,201000
VA-DEPARTMENT OF VETERANS AFFAIRS,48304
AG-DEPARTMENT OF AGRICULTURE,42925
VA-DEPARTMENT OF VETERANS AFFAIRS,88821
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,123070
ST-DEPARTMENT OF STATE,117105
HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,141555
AG-DEPARTMENT OF AGRICULTURE,152593
CM-DEPARTMENT OF COMMERCE,46478
VA-DEPARTMENT OF VETERANS AFFAIRS,116528
HS-DEPARTMENT OF HOMELAND SECURITY,101335
TD-DEPARTMENT OF TRANSPORTATION,125239
VA-DEPARTMENT OF VETERANS AFFAIRS,67145
HS-DEPARTMENT OF HOMELAND SECURITY,41112
SB-SMALL BUSINESS ADMINISTRATION,149432
VA-DEPARTMENT OF VETERANS AFFAIRS,47376
HS-DEPARTMENT OF HOMELAND SECURITY,85215
EP-ENVIRONMENTAL PROTECTION AGENCY,141355
DJ-DEPARTMENT OF JUSTICE,117336
HS-DEPARTMENT OF HOMELAND SECURITY,119752.06
VA-DEPARTMENT OF VETERANS AFFAIRS,63654
CM-DEPARTMENT OF COMMERCE,141555
SZ-SOCIAL SECURITY ADMINISTRATION,84320
EP-ENVIRONMENTAL PROTECTION AGENCY,110256.21
VA-DEPARTMENT OF VETERANS AFFAIRS,63175
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,59635
NL-NATIONAL LABOR RELATIONS BOARD,160300
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,172120
FD-FEDERAL DEPOSIT INSURANCE CORPORATION,161106
VA-DEPARTMENT OF VETERANS AFFAIRS,85089
HS-DEPARTMENT OF HOMELAND SECURITY,46371
DJ-DEPARTMENT OF JUSTICE,168845
VA-DEPARTMENT OF VETERANS AFFAIRS,48564.49
TR-DEPARTMENT OF THE TREASURY,84320
VA-DEPARTMENT OF VETERANS AFFAIRS,69120
TR-DEPARTMENT OF THE TREASURY,153702
CM-DEPARTMENT OF COMMERCE,92316
VA-DEPARTMENT OF VETERANS AFFAIRS,50703
VA-DEPARTMENT OF VETERANS AFFAIRS,97162
CM-DEPARTMENT OF COMMERCE,34787
TD-DEPARTMENT OF TRANSPORTATION,152277
IN-DEPARTMENT OF THE INTERIOR,101043
HS-DEPARTMENT OF HOMELAND SECURITY,75747
HS-DEPARTMENT OF HOMELAND SECURITY,106931
TR-DEPARTMENT OF THE TREASURY,182564
