DY,MAX,MIN,AVG,DEP,HDD,CDD,WTR,SNW,DPTH,SPD,SPD,DIR,MIN,PSBL,S-S,WX,SPD,DR
1,45,16,31,1,34,0,T,M,M,9.9,18,280,M,M,6,24,280
2,24,9,17,-13,48,0,0.00,M,M,5.6,13,350,M,M,0,20,360
3,37,19,28,-3,37,0,0.00,M,M,9.7,21,190,M,M,10,26,190
4,41,16,29,-2,36,0,0.10,M,M,9.4,28,220,M,M,10,18,36,210
5,27,3,15,-16,50,0,0.01,M,M,3.0,12,120,M,M,2,15,140
6,31,21,26,-5,39,0,0.01,M,M,5.5,14,10,M,M,6,1,16,10
7,34,19,27,-4,38,0,0.03,M,M,7.5,15,290,M,M,5,18,19,300
8,34,14,24,-7,41,0,0.00,M,M,5.1,12,150,M,M,3,18,16,290
9,52,29,41,9,24,0,0.00,M,M,7.8,21,240,M,M,4,27,220
10,39,30,35,3,30,0,T,M,M,8.4,15,360,M,M,9,18,20,70
11,31,24,28,-4,37,0,0.02,M,M,6.4,15,290,M,M,10,168,21,290
12,40,15,28,-4,37,0,0.00,M,M,7.3,15,30,M,M,1,19,50
13,45,22,34,2,31,0,0.00,M,M,7.1,16,120,M,M,2,19,120
14,59,40,50,17,15,0,0.21,M,M,9.8,21,230,M,M,10,18,29,210
15,67,57,62,29,3,0,0.72,M,M,13.8,24,230,M,M,10,1,34,220
16,58,30,44,11,21,0,0.34,M,M,7.5,18,360,M,M,10,18,25,350
17,37,26,32,-1,33,0,0.08,M,M,5.2,18,270,M,M,7,1,27,270
18,49,23,36,2,29,0,0.00,M,M,6.5,16,140,M,M,2,1,21,140
19,71,43,57,23,8,0,0.14,M,M,14.8,26,210,M,M,8,1,43,220
20,75,66,71,37,0,6,T,M,M,17.3,30,220,M,M,6,42,230
21,72,38,55,20,10,0,1.16,M,M,11.3,23,200,M,M,10,1,35,190
22,45,39,42,7,23,0,0.36,M,M,10.3,20,80,M,M,10,1,26,90
23,59,44,52,17,13,0,0.26,M,M,8.2,23,240,M,M,10,1,31,230
24,55,44,50,14,15,0,1.86,M,M,9.0,23,120,M,M,10,1,27,120
25,59,35,47,11,18,0,0.04,M,M,10.5,26,290,M,M,2,1,38,240
26,56,27,42,6,23,0,0.00,M,M,2.2,10,240,M,M,0,13,240
27,62,28,45,9,20,0,0.00,M,M,6.4,18,210,M,M,0,26,200
